Text,Emotion
I'm terrified of the dark.,fear
My palms are sweaty from anxiety.,fear
I can’t stop worrying.,fear
The sound scared me to death!,fear
I fear losing everything.,fear
This situation gives me chills.,fear
I’m frozen in fear.,fear
I feel completely helpless.,fear
I’m afraid to speak up.,fear
I dread what’s coming.,fear
Why do I feel so unsafe?,fear
I’m having a panic attack.,fear
The fear is paralyzing.,fear
My mind is full of terrible thoughts.,fear
I’m scared of what's next.,fear
My heart is racing with fear.,fear
I feel like something bad is about to happen.,fear
What if I fail?,fear
I’m shaking just thinking about it.,fear
I can't breathe properly.,fear
I'm terrified of the dark.,fear
My palms are sweaty from anxiety.,fear
I can’t stop worrying.,fear
The sound scared me to death!,fear
I fear losing everything.,fear
This situation gives me chills.,fear
I’m frozen in fear.,fear
I feel completely helpless.,fear
I’m afraid to speak up.,fear
I dread what’s coming.,fear
Why do I feel so unsafe?,fear
I’m having a panic attack.,fear
The fear is paralyzing.,fear
My mind is full of terrible thoughts.,fear
I’m scared of what's next.,fear
My heart is racing with fear.,fear
I feel like something bad is about to happen.,fear
What if I fail?,fear
I’m shaking just thinking about it.,fear
I can't breathe properly.,fear
I'm terrified of the dark.,fear
My palms are sweaty from anxiety.,fear
I can’t stop worrying.,fear
The sound scared me to death!,fear
I fear losing everything.,fear
This situation gives me chills.,fear
I’m frozen in fear.,fear
I feel completely helpless.,fear
I’m afraid to speak up.,fear
I dread what’s coming.,fear
Why do I feel so unsafe?,fear
I’m having a panic attack.,fear
The fear is paralyzing.,fear
My mind is full of terrible thoughts.,fear
I’m scared of what's next.,fear
My heart is racing with fear.,fear
I feel like something bad is about to happen.,fear
What if I fail?,fear
I’m shaking just thinking about it.,fear
I can't breathe properly.,fear
I'm terrified of the dark.,fear
My palms are sweaty from anxiety.,fear
I can’t stop worrying.,fear
The sound scared me to death!,fear
I fear losing everything.,fear
This situation gives me chills.,fear
I’m frozen in fear.,fear
I feel completely helpless.,fear
I’m afraid to speak up.,fear
I dread what’s coming.,fear
Why do I feel so unsafe?,fear
I’m having a panic attack.,fear
The fear is paralyzing.,fear
My mind is full of terrible thoughts.,fear
I can't stop thinking about them.,love
This moment feels magical.,love
My heart skips a beat around you.,love
Being with you is everything.,love
I adore the way you smile.,love
I'm head over heels in love.,love
You mean the world to me.,love
I cherish every moment with you.,love
Love is in the air!,love
This is what happiness looks like.,love
I’m falling deeper every day.,love
Your love completes me.,love
We were meant to be.,love
You’re my sunshine.,love
I’m always here for you.,love
My heart is yours.,love
Every love song reminds me of you.,love
Let’s stay like this forever.,love
I never knew love until I met you.,love
You are my everything.,love
I can't stop thinking about them.,love
This moment feels magical.,love
My heart skips a beat around you.,love
Being with you is everything.,love
I adore the way you smile.,love
I'm head over heels in love.,love
You mean the world to me.,love
I cherish every moment with you.,love
Love is in the air!,love
This is what happiness looks like.,love
I’m falling deeper every day.,love
Your love completes me.,love
We were meant to be.,love
You’re my sunshine.,love
I’m always here for you.,love
My heart is yours.,love
Every love song reminds me of you.,love
Let’s stay like this forever.,love
I never knew love until I met you.,love
You are my everything.,love
I can't stop thinking about them.,love
This moment feels magical.,love
My heart skips a beat around you.,love
Being with you is everything.,love
I adore the way you smile.,love
I'm head over heels in love.,love
You mean the world to me.,love
I cherish every moment with you.,love
Love is in the air!,love
This is what happiness looks like.,love
I’m falling deeper every day.,love
Your love completes me.,love
We were meant to be.,love
You’re my sunshine.,love
I’m always here for you.,love
My heart is yours.,love
Every love song reminds me of you.,love
Let’s stay like this forever.,love
I never knew love until I met you.,love
You are my everything.,love
I can't stop thinking about them.,love
This moment feels magical.,love
My heart skips a beat around you.,love
Being with you is everything.,love
I adore the way you smile.,love
I'm head over heels in love.,love
You mean the world to me.,love
I cherish every moment with you.,love
Love is in the air!,love
This is what happiness looks like.,love
I’m falling deeper every day.,love
Your love completes me.,love
We were meant to be.,love
You’re my sunshine.,love
I’m always here for you.,love
My heart is yours.,love
Every love song reminds me of you.,love
Let’s stay like this forever.,love
I never knew love until I met you.,love
You are my everything.,love
I can't stop thinking about them.,love
This moment feels magical.,love
My heart skips a beat around you.,love
Being with you is everything.,love
I adore the way you smile.,love
I'm head over heels in love.,love
You mean the world to me.,love
I cherish every moment with you.,love
Love is in the air!,love
This is what happiness looks like.,love
I’m falling deeper every day.,love
Your love completes me.,love
We were meant to be.,love
You’re my sunshine.,love
I’m always here for you.,love
My heart is yours.,love
Every love song reminds me of you.,love
Let’s stay like this forever.,love
I never knew love until I met you.,love
You are my everything.,love
